MARUTI SUZUKI,,,,,,,,,,,,,,,,,,,
,1,Volkswagen Group India,Taigun,Life / Style / GT / GT-Plus,Deep Black pearl,Wild Cherry Red Metallic,Candy White,Lava Blue Metallic,Carbon Steel Grey Metallic,Reflex Silver Metallic,Avocado Pearl Effect,Steel Grey,Carbon Steel Matte,,,,,,
,2,Volkswagen Group India,Virtus,Comfortline / Highline / GT,Wild Cherry Red,Candy White,Reflex Silver,Carbon Steel Grey,Rising Blue Metallic,Lava Blue,Deep Black pearl,Carbon Steel Matte Grey,,,,,,,
,3,Volkswagen Group India,Tiguan R-Line,R-Line trim,Cipressino Green Metallic,Nightshade Blue Metallic,Grenadilla Black Metallic,Oryx White Mother of Pearl Effect,Persimmon Red Metallic,,,,,,,,,,
,4,Volkswagen Group India,Golf GTI,GTI Edition,Grenadilla Black Metallic,Oryx White Mother-of-Pearl Effect,Moonstone Grey Black,Kings Red Metallic,,,,,,,,,,,
,5,Volkswagen Group India,Polo,Trendline / Highline,Carbon Steel,Reflex Silver,Sunset Red,Candy White,Flash Red,,,,,,,,,,
,6,Volkswagen Group India,Vento / Ameo (sedan),Comfortline / Highline,Reflex Silver,Lapiz Blue,Sunset Red,Candy White,Carbon Steel,Toffee Brown,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CITROEN,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Stellantis (PSA Group),C3,Live / Feel / Shine,Polar White,Platinum Grey,Steel Grey,Polar White with Platinum Grey roof,Cosmo Blue,Cosmo Blue with Polar White roof,Perla Nera Black,Garnet Red,Garnet Red with Perla Nera Black,,,,,,
,2,Stellantis,ë-C3,Live / Feel (EV variant),,,,,,,,,,,,,,,
,3,Stellantis,Basalt (X-Series),You / Plus / Max,Polar White,Steel Grey,Cosmo Blue,Garnet Red,Polar White with Perla Nera Black roof,Garnet Red with Perla Nera Black Roof,Perla Nera Black,,,,,,,,
,4,Stellantis,Aircross / C3 Aircross,X-Series (Aircross X),Polar White,Steel Grey,Garnet Red,Cosmo Blue,Deep Forest Green,Perla Nera Black,Deep Forest Green with Perla Nera Black roof,Polar White with Perla Nera Black roof,Cosmo Blue With Polar White roof,Garnet Red with Perla Nera Black roof,,,,,
,5,Stellantis,C5 Aircross,Feel / Shine,Cumulus Grey,Eclipse Blue,Pearl Nera Black,Pearl White with black Roof,Cumulus Grey with Black Roof,Eclipse Blue with Black Roof,,,,,,,,,
,6,Stellantis,C3X,Standard trims,,,,,,,,,,,,,,,
,7,Stellantis,(Example older/discontinued) C3 Aircross (older India import version),—,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FORD,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Ford Motor Company,EcoSport,Ambiente / Trend / Titanium / Sport,Diamond White,Moondust Silver,Absolute Black,Race Red,Lightning Blue,Smoke Grey,Canyon Ridge,,,,,,,,
,2,Ford Motor Company,Endeavour (Everest),Trend / Titanium / Sport / Limited,Diffused Silver,Diamond White,Absolute Black,,,,,,,,,,,,
,3,Ford Motor Company,Figo,Zinc / Titanium / Sport,Moondust Silver,White Gold,Smoke Grey,Ruby Red,Diamond White,,,,,,,,,,
,4,Ford Motor Company,Fiesta / Classic,Trend / Titanium / Classic,Panther Black,Moondust Silver,Chill Metallic,Diamond White,Sea Grey,Colorado,,,,,,,,,
